" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Brissett                     Oshae Brissett","SF","26","$119,972","0.09%","$119,972","$119,972","$139,391","$139,391"
"2","Okeke                     Chuma Okeke","PF","26","$119,972","0.09%","$119,972","$119,972","$128,603","$128,603"
"3","Okeke                     Chuma Okeke","PF","26","$119,972","0.09%","$119,972","$119,972","$128,603","$128,603"
"4","Roddy                     David Roddy","PF","23","$119,972","0.09%","$119,972","$119,972","$119,972","$119,972"
"5","Castleton                     Colin Castleton","PF","24","$107,027","0.08%","$107,027","$119,972","$107,027","$107,027"
"6","Wheeler                     Phillip Wheeler","F","22","$66,503","0.05%","$66,503","$119,972","$66,503","$66,503"
"7","Bagley                     Marcus Bagley","SF","23","$66,503","0.05%","$66,503","$119,972","$66,503","$66,503"
"8","Bagley                     Marcus Bagley","SF","23","$59,853","0.04%","$59,853","$107,975","$59,853","$59,853"
"9","Mobley                     Isaiah Mobley","PF","24","$11,997","0.01%","$11,997","$11,997","$12,429","$12,429"

