"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Lillard                   Damian Lillard","PG","","","$22,516,603","12.92%","","","","",""
"Micic                   Vasilije Micic","PG","","","$666,667","0.38%","","","","",""

