" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Birch                     Khem Birch","C","28","$2,586,036","2.37%","$2,586,036","$2,586,036","$2,586,036","'-"
"2","Teague                     Jeff Teague","PG","32","$1,620,564","1.48%","$1,620,564","$1,620,564","$931,040","'-"
"3","Brazdeikis                     Ignas Brazdeikis","SF","22","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"4","Franks                     Robert Franks","SF","","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"5","Franks                     Robert Franks","SF","","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"6","Hall                     Donta Hall","PF","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"7","Hall                     Donta Hall","PF","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"8","Hall                     Donta Hall","PF","23","$79,216","0.07%","$79,216","$88,798","$79,216","$79,216"
"9","Cannady                     Devin Cannady","PG","24","$61,528","0.06%","$61,528","$110,998","$61,528","$61,528"
"10","Mozgov                     Timofey Mozgov","C","34","'-","'-","'-","'-","$5,573,333","'-"

