" ","Player (2)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Vazquez                     Fran Vazquez","C","31","$1,898,300","3.01%","","","","","1st Round Rookie Scale"
"2","Richardson                     Jeremy Richardson","SF","","$915,243","1.45%","","","","",""

