" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Lopez                     Brook Lopez","C","28","$21,165,675","22.48%","$21,165,675","$21,165,675","$21,165,675","$21,165,675","2027"
"2","Lin                     Jeremy Lin","PG","28","$11,483,254","12.20%","$11,483,254","$11,483,254","$11,483,254","$11,483,254","2019"
"3","Booker                     Trevor Booker","PF","29","$9,250,000","9.83%","$9,250,000","$9,250,000","$9,250,000","$9,250,000","2018"
"4","Nicholson                     Andrew Nicholson","PF","27","$6,088,993","6.47%","$6,088,993","$6,088,993","$1,790,880","$1,790,880","2020"
"5","McDaniels                     K.J. McDaniels","SG","23","$3,333,333","3.54%","$3,333,333","$3,333,333","$960,784","$3,333,333","2017"
"6","Hamilton                     Justin Hamilton","C","26","$3,000,000","3.19%","$3,000,000","$3,000,000","$3,000,000","$3,000,000","2018"
"7","Foye                     Randy Foye","SG","33","$2,500,000","2.66%","$2,500,000","$2,500,000","$2,500,000","'-","2017"
"8","Acy                     Quincy Acy","PF","26","$1,790,092","1.90%","$1,790,092","$1,790,092","$1,790,092","$1,790,092","2018"
"9","LeVert                     Caris LeVert","SG","22","$1,562,280","1.66%","$1,562,280","$1,562,280","$1,562,280","$1,562,280","2027"
"10","Hollis-Jefferson                     Rondae Hollis-Jefferson","SF","22","$1,395,600","1.48%","$1,395,600","$1,395,600","$1,395,600","$1,395,600","2019"
"11","Whitehead                     Isaiah Whitehead","PG","21","$1,074,145","1.14%","$1,074,145","$1,074,145","$1,074,145","$1,074,145","2020"
"12","Harris                     Joe Harris","SG","25","$980,431","1.04%","$980,431","$980,431","$980,431","$980,431","2018"
"13","Kilpatrick                     Sean Kilpatrick","SG","27","$980,431","1.04%","$980,431","$980,431","$980,431","$980,431","2018"
"14","Dinwiddie                     Spencer Dinwiddie","PG","23","$726,672","0.77%","$726,672","$726,672","$726,672","$726,672",""
"15","Goodwin                     Archie Goodwin","SG","22","$75,000","0.08%","$75,000","$75,000","$75,000","$75,000","2018"

