" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Hibbert                     Roy Hibbert","C","27","$14,283,844","24.34%","$14,283,844","$14,283,844","$14,283,844","'-","2016"
"2","West                     David West","PF","33","$12,000,000","20.45%","$12,000,000","$12,000,000","$12,000,000","'-","2016"
"3","Hill                     George Hill","PG","27","$8,000,000","13.63%","$8,000,000","$8,000,000","$8,000,000","$8,000,000","2017"
"4","Turner                     Evan Turner","SF","25","$6,679,867","11.38%","$6,679,867","$6,679,867","$6,679,867","$6,679,867","2014"
"5","Scola                     Luis Scola","PF","33","$4,508,504","7.68%","$4,508,504","$4,508,504","$4,508,504","'-","2015"
"6","Mahinmi                     Ian Mahinmi","C","27","$4,000,000","6.82%","$4,000,000","$4,000,000","$4,000,000","$4,000,000","2016"
"7","George                     Paul George","SF","23","$3,282,003","5.59%","$3,282,003","$3,282,003","$3,282,003","$3,282,003","2028"
"8","Allen                     LaVoy Allen","PF","24","$3,060,000","5.21%","$3,060,000","$3,060,000","$3,060,000","'-","2014"
"9","Copeland                     Chris Copeland","SF","29","$3,000,000","5.11%","$3,000,000","$3,000,000","$3,000,000","'-","2015"
"10","Watson                     C.J. Watson","PG","29","$2,016,000","3.44%","$2,016,000","$2,016,000","$2,016,000","$2,016,000","2015"
"11","Hill                     Solomon Hill","SF","22","$1,246,680","2.12%","$1,246,680","$1,246,680","$1,246,680","$1,246,680","2016"
"12","Stephenson                     Lance Stephenson","SG","23","$1,005,000","1.71%","$1,005,000","$1,005,000","$1,005,000","$930,000","2014"
"13","Bynum                     Andrew Bynum","C","26","$1,000,000","1.70%","$1,000,000","$1,000,000","$1,000,000","'-","2014"
"14","Butler                     Rasual Butler","SF","34","$884,293","1.51%","$884,293","$884,293","$1,399,507","'-","2014"
"15","Sloan                     Donald Sloan","PG","26","$884,293","1.51%","$884,293","$884,293","$884,293","'-","2015"

