" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Fox                     De'Aaron Fox","PG","26","$32,600,060","23.97%","$32,600,060","$32,600,060","$32,600,060","$32,600,060","2030"
"2","Sabonis                     Domantas Sabonis","PF","27","$29,300,000","21.54%","$30,600,000","$29,300,000","$29,300,000","$28,000,000","2028"
"3","Barnes                     Harrison Barnes","PF","31","$17,000,000","12.50%","$17,000,000","$17,000,000","$17,000,000","$17,000,000","2026"
"4","Huerter                     Kevin Huerter","SG","25","$15,669,643","11.52%","$15,669,643","$15,669,643","$15,669,643","$15,669,643","2026"
"5","Monk                     Malik Monk","SG","25","$9,945,830","7.31%","$9,945,830","$9,945,830","$9,945,830","$9,945,830","2028"
"6","Murray                     Keegan Murray","PF","23","$8,409,000","6.18%","$8,409,000","$8,409,000","$8,409,000","$8,409,000","2031"
"7","Lyles                     Trey Lyles","PF","28","$8,000,000","5.88%","$9,200,000","$8,000,000","$8,000,000","$8,000,000","2025"
"8","Vezenkov                     Sasha Vezenkov","SF","28","$6,341,464","4.66%","$6,341,464","$6,341,464","$6,341,464","$6,341,464","2026"
"9","Mitchell                     Davion Mitchell","PG","25","$5,063,640","3.72%","$5,063,640","$5,063,640","$5,063,640","$5,063,640","2027"
"10","Duarte                     Chris Duarte","SF","26","$4,124,400","3.03%","$4,124,400","$4,124,400","$4,124,400","$4,124,400","2025"
"11","McGee                     JaVale McGee","C","36","$2,019,706","1.48%","$2,019,706","$2,019,706","$3,196,448","$3,196,448","2024"
"12","Len                     Alex Len","C","30","$2,019,706","1.48%","$2,019,706","$2,019,706","$3,196,448","$3,196,448","2024"
"13","Jones                     Colby Jones","SG","21","$2,019,706","1.48%","$2,019,706","$2,019,706","$2,019,706","$2,019,706","2027"
"14","Edwards                     Kessler Edwards","SF","23","$1,927,896","1.42%","$1,927,896","$1,927,896","$1,927,896","$1,927,896","2024"
"15","Ellis                     Keon Ellis","SF","24","$683,430","0.50%","$683,430","$683,430","$683,430","$683,430","2026"
"16","Jones                     Mason Jones","SG","25","Two-Way","'-","'-","'-","'-","'-","2025"
"17","Ford                     Jordan Ford","PG","25","Two-Way","'-","'-","'-","'-","'-","2024"
"18","Slawson                     Jalen Slawson","PF","24","Two-Way","'-","'-","'-","'-","'-","2024"

