"Player (15 of 15 + 1 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Jordan                   DeAndre Jordan","C","29","FA","$22,642,350","22.85%","$22,642,350","'-","'-","'-","$22,642,350"
"Gallinari                   Danilo Gallinari","SF","29","S&T","$20,559,599","20.75%","$20,559,599","'-","'-","'-","$20,559,599"
"Harris                   Tobias Harris","PF","25","","$16,000,000","16.15%","$16,000,000","'-","'-","'-","$16,000,000"
"Rivers                   Austin Rivers","SG","25","","$11,825,000","11.93%","$11,825,000","'-","'-","'-","$11,825,000"
"Bradley                   Avery Bradley","SG","27","","$8,808,989","8.89%","$8,808,989","'-","'-","'-","$8,808,989"
"Williams                   Louis Williams","SG","31","","$7,000,000","7.06%","$7,000,000","'-","'-","'-","$7,000,000"
"Marjanovic                   Boban Marjanovic","C","29","","$7,000,000","7.06%","$7,000,000","'-","'-","'-","$7,000,000"
"Teodosic                   Milos Teodosic","PG","30","","$6,000,000","6.05%","$6,000,000","'-","'-","'-","$6,000,000"
"Johnson                   Wesley Johnson","SF","30","","$5,881,260","5.94%","$5,881,260","'-","'-","'-","$5,881,260"
"Beverley                   Patrick Beverley","PG","29","","$5,513,513","5.56%","$5,513,513","'-","'-","'-","$5,513,513"
"Dekker                   Sam Dekker","SF","23","RK-1ST","$1,794,600","1.81%","$1,794,600","'-","'-","'-","$1,794,600"
"Harrell                   Montrezl Harrell","C","24","","$1,471,382","1.48%","$1,471,382","'-","'-","'-","$1,471,382"
"Thornwell                   Sindarius Thornwell","SG","23","RK","$815,615","0.82%","$815,615","'-","'-","'-","$815,615"
"Evans                   Jawun Evans","PG","21","RK","$815,615","0.82%","$815,615","'-","'-","'-","$815,615"
"Williams                   C.J. Williams","SG","27","","$13,824","0.01%","$13,824","'-","'-","'-","$13,824"
"Wallace                   Tyrone Wallace","PG","23","2W","Two-Way","'-","'-","'-","'-","'-","'-"

