" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Dinwiddie                     Spencer Dinwiddie","PG","30","$18,857,143","13.86%","$18,857,143","$18,857,143","$7,152,709","'-"
"2","Koloko                     Christian Koloko","C","23","$1,719,864","1.26%","$1,719,864","$1,719,864","$1,719,864","'-"
"3","Winslow                     Justise Winslow","SF","27","$116,075","0.09%","$116,075","$116,075","$166,176","$166,176"
"4","Simmons                     Kobi Simmons","PG","26","$116,075","0.09%","$116,075","$116,075","$124,425","$124,425"
"5","Ramsey                     Jahmi'us Ramsey","SG","22","$116,075","0.09%","$116,075","$116,075","$116,075","$116,075"
"6","Ramsey                     Jahmi'us Ramsey","SG","22","$116,075","0.09%","$116,075","$116,075","$116,075","$116,075"
"7","Moore                     Omari Moore","F","23","$75,000","0.06%","$75,000","$75,000","$75,000","'-"
"8","Carton                     D.J. Carton","PG","23","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"9","Gueye                     Mouhamadou Gueye","F","25","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"10","Williams                     Malik Williams","C","25","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"

