" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","James                     LeBron James","SF","32","$30,963,450","32.89%","$30,963,450","$30,963,450","$30,963,450","$30,963,450","2026"
"2","Love                     Kevin Love","C","28","$21,165,675","22.48%","$21,165,675","$21,165,675","$21,165,675","$21,165,675","2026"
"3","Irving                     Kyrie Irving","PG","24","$17,638,063","18.74%","$17,638,063","$17,638,063","$17,638,063","$17,638,063","2028"
"4","Thompson                     Tristan Thompson","C","25","$15,330,435","16.28%","$15,330,435","$15,330,435","$15,330,435","$15,330,435","2020"
"5","Smith                     J.R. Smith","SG","31","$12,800,000","13.60%","$12,800,000","$12,800,000","$12,800,000","$12,800,000","2020"
"6","Shumpert                     Iman Shumpert","SG","26","$9,662,921","10.26%","$9,662,921","$9,662,921","$9,662,921","$9,662,921","2019"
"7","Frye                     Channing Frye","PF","33","$7,806,971","8.29%","$7,806,971","$7,806,971","$7,806,971","$7,806,971","2018"
"8","Korver                     Kyle Korver","SG","35","$5,239,437","5.57%","$5,239,437","$5,239,437","$5,239,437","$5,239,437","2017"
"9","Jefferson                     Richard Jefferson","SF","36","$2,500,000","2.66%","$2,500,000","$2,500,000","$2,500,000","$2,500,000","2019"
"10","Jones                     James Jones","SG","36","$980,431","1.04%","$980,431","$980,431","$1,551,659","$1,551,659","2017"
"11","Felder                     Kay Felder","PG","21","$543,471","0.58%","$543,471","$543,471","$543,471","$543,471","2019"
"12","Williams                     Deron Williams","PG","32","$259,526","0.28%","$259,526","$259,526","$410,733","$410,733","2017"
"13","Williams                     Derrick Williams","PF","25","$230,690","0.25%","$230,690","$230,690","$268,029","$268,029","2017"
"14","Jones                     Dahntay Jones","SF","36","$5,767","0.01%","$5,767","$5,767","$9,127","$9,127","2017"
"15","Tavares                     Walter Tavares","C","24","$5,145","0.01%","$5,145","$5,767","$5,145","$5,145","2019"

