"Player (10)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Gortat                   Marcin Gortat","C","","","$13,565,218","13.32%","","","","",""
"Teodosic                   Milos Teodosic","PG","","","$6,300,000","6.18%","","","","",""
"Ajinca                   Alexis Ajinca","C","","","$5,285,394","5.19%","","","","",""
"Mbah a Moute                   Luc Richard Mbah a Moute","PF","","","$4,320,500","4.24%","","","","",""
"Beasley                   Michael Beasley","SF","","","$3,500,000","3.44%","","","","",""
"Evans                   Jawun Evans","PG","","","$1,378,242","1.35%","","","","",""
"Delfino                   Carlos Delfino","SG","","","$650,000","0.64%","","","","",""
"Raduljica                   Miroslav Raduljica","C","","","$252,042","0.25%","","","","",""
"Bibbs                   Justin Bibbs","G","","","$47,371","0.05%","","","","",""
"Bibbs                   Justin Bibbs","G","","","$47,371","0.05%","","","","",""

