" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Williams                     Troy Williams","SF","23","$1,471,382","1.48%","$1,471,382","$1,471,382","$1,471,382","'-"
"2","Brown                     Bobby Brown","PG","33","$714,787","0.72%","$714,787","$714,787","$714,787","'-"
"3","Brown                     Bobby Brown","PG","33","$515,399","0.52%","$515,399","$515,399","$515,399","'-"
"4","Wright                     Brandan Wright","PF","30","$490,461","0.50%","$490,461","$490,461","$705,652","'-"
"5","Oliver                     Cameron Oliver","PF","21","$300,000","0.30%","$300,000","$300,000","$300,000","'-"
"6","Quarterman                     Tim Quarterman","PG","23","$96,406","0.10%","$96,406","$96,406","$96,406","'-"
"7","Jackson                     Demetrius Jackson","PG","23","$74,159","0.07%","$74,159","$74,159","$74,159","$74,159"
"8","Canaan                     Isaiah Canaan","PG","26","$53,465","0.05%","$53,465","$53,465","$53,465","'-"
"9","Nash                     Le'Bryan Nash","SF","25","$46,080","0.05%","$46,080","$46,080","$46,080","$46,080"
"10","Johnson                     Christapher Johnson","SF","27","$25,000","0.03%","$25,000","$25,000","$25,000","'-"

