"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Paul                   Chris Paul","PG","31","VET-EXT","$23,199,328","24.64%","$22,868,828","'-","'-","'-","'-"
"Jordan                   DeAndre Jordan","C","28","FA","$21,165,675","22.48%","$21,165,675","'-","'-","'-","$21,165,675"
"Griffin                   Blake Griffin","PF","27","DRK-EXT","$20,140,838","21.39%","$20,140,838","'-","'-","'-","$20,140,838"
"Crawford                   Jamal Crawford","SG","36","","$13,253,012","14.08%","$13,253,012","'-","'-","'-","'-"
"Rivers                   Austin Rivers","SG","24","","$11,000,000","11.68%","$11,000,000","'-","'-","'-","$11,000,000"
"Redick                   J.J. Redick","SG","32","S&T","$7,377,500","7.84%","$7,377,500","'-","'-","'-","$7,377,500"
"Johnson                   Wesley Johnson","SF","29","","$5,628,000","5.98%","$5,628,000","'-","'-","'-","$5,628,000"
"Pierce                   Paul Pierce","SF","39","","$3,527,920","3.75%","$3,527,920","'-","'-","'-","'-"
"Mbah a Moute                   Luc Richard Mbah a Moute","PF","30","","$2,203,000","2.34%","$2,203,000","'-","'-","'-","'-"
"Speights                   Marreese Speights","PF","29","","$1,403,611","1.49%","$1,403,611","'-","'-","'-","'-"
"Johnson                   Brice Johnson","PF","22","RK-1ST","$1,273,920","1.35%","$1,273,920","'-","'-","'-","$1,273,920"
"Anderson                   Alan Anderson","SG","34","","$980,431","1.04%","$1,315,448","'-","'-","'-","'-"
"Felton                   Raymond Felton","PG","32","","$980,431","1.04%","$1,551,659","'-","'-","'-","'-"
"Bass                   Brandon Bass","PF","31","","$980,431","1.04%","$1,551,659","'-","'-","'-","$1,551,659"
"Stone                   Diamond Stone","C","19","RK","$543,471","0.58%","$543,471","'-","'-","'-","$543,471"

