" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Bogut                     Andrew Bogut","C","32","$10,527,027","11.18%","$10,527,027","$10,527,027","$2,678,378","'-"
"2","Landry                     Carl Landry","PF","33","$6,500,000","6.90%","$6,500,000","$6,500,000","$6,500,000","'-"
"3","Pleiss                     Tibor Pleiss","C","27","$3,000,000","3.19%","$3,000,000","$3,000,000","$3,000,000","'-"
"4","Kaun                     Sasha Kaun","C","31","$1,333,420","1.42%","$1,333,420","$1,333,420","$1,333,420","'-"
"5","Thompson                     Hollis Thompson","SG","25","$1,015,696","1.08%","$1,015,696","$1,015,696","$1,015,696","'-"
"6","Brand                     Elton Brand","PF","37","$980,431","1.04%","$980,431","$980,431","$1,000,000","'-"
"7","Randle                     Chasson Randle","PG","23","$233,373","0.25%","$233,373","$233,373","$233,373","'-"
"8","Paul                     Brandon Paul","SG","25","$155,000","0.16%","$155,000","$155,000","$155,000","'-"
"9","Webb III                     James Webb III","SF","23","$65,000","0.07%","$65,000","$65,000","$65,000","'-"
"10","Long                     Shawn Long","PF","24","$65,000","0.07%","$65,000","$65,000","$65,000","'-"
"11","Harper                     Justin Harper","SF","27","$57,672","0.06%","$57,672","$57,672","$59,747","$59,747"
"12","Christmas                     Dionte Christmas","SG","30","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"13","Barber                     Cat Barber","PG","22","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"14","Long                     Shawn Long","PF","24","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"15","Poythress                     Alex Poythress","SF","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"16","Randle                     Chasson Randle","PG","23","$31,969","0.03%","$31,969","$31,969","$31,969","$31,969"
"17","Randle                     Chasson Randle","PG","23","$31,969","0.03%","$31,969","$31,969","$31,969","$31,969"
"18","Williams                     Mo Williams","PG","34","'-","'-","'-","'-","$38,726","'-"

