" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gordon                     Eric Gordon","SG","24","$13,668,750","23.55%","$13,668,750","$13,668,750","$13,668,750","$13,668,750","2016"
"2","Anderson                     Ryan Anderson","PF","24","$8,700,000","14.99%","$8,700,000","$8,700,000","$8,700,000","$8,700,000","2016"
"3","Davis                     Anthony Davis","PF","19","$5,144,280","8.86%","$5,144,280","$5,144,280","$5,144,280","$5,144,280","2028"
"4","Lopez                     Robin Lopez","C","24","$4,899,293","8.44%","$4,899,293","$4,899,293","$4,899,293","'-","2015"
"5","Aminu                     Al-Farouq Aminu","SF","22","$2,947,800","5.08%","$2,947,800","$2,947,800","$2,947,800","$2,947,800","2013"
"6","Smith                     Jason Smith","PF","26","$2,500,000","4.31%","$2,500,000","$2,500,000","$2,500,000","$2,500,000","2014"
"7","Henry                     Xavier Henry","SG","21","$2,323,200","4.00%","$2,323,200","$2,323,200","$2,323,200","'-","2013"
"8","Rivers                     Austin Rivers","SG","20","$2,238,360","3.86%","$2,238,360","$2,238,360","$2,238,360","$2,238,360","2015"
"9","Vasquez                     Greivis Vasquez","PG","26","$1,191,240","2.05%","$1,191,240","$1,191,240","$1,191,240","'-","2014"
"10","Mason                     Roger Mason","SG","32","$854,389","1.47%","$854,389","$854,389","'-","'-","2013"
"11","Thomas                     Lance Thomas","SF","24","$762,195","1.31%","$762,195","$762,195","$762,195","$762,195","2013"
"12","Miller                     Darius Miller","SF","22","$473,604","0.82%","$473,604","$473,604","$473,604","$473,604","2014"
"13","Roberts                     Brian Roberts","PG","27","$473,604","0.82%","$473,604","$473,604","$473,604","'-","2014"
"14","Harris                     Terrel Harris","SG","25","$89,670","0.15%","$89,670","$89,670","'-","'-","2013"
"15","Harris                     Terrel Harris","SG","25","$44,835","0.08%","$44,835","$44,835","'-","'-","2012"

