"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Vanderbilt                   Jarred Vanderbilt","PF","29","VET-EXT","$19,928,571","10.89%","'-","","","Bird",""
"Knecht                   Dalton Knecht","SF","27","RK-1ST","$19,358,580","10.58%","$9,756,725","","","Restricted Bird",""
"Thiero                   Adou Thiero","SF","24","RK-2ND","$3,409,966","1.86%","$3,409,966","","","Restricted Bird",""
"James                   Bronny James","PG","24","RK-2ND","$3,056,337","1.67%","'-","","","Bird",""
"Waiters                   Dion Waiters","SG","37","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Morris                   Markieff Morris","PF","39","","$2,717,496","1.48%","'-","","","Bird",""
"Howard                   Dwight Howard","C","43","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Ellington                   Wayne Ellington","SG","41","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Dudley                   Jared Dudley","SF","43","FA","$2,717,496","1.48%","'-","","","Early Bird",""
"Bradley                   Avery Bradley","PG","38","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Anthony                   Carmelo Anthony","PF","44","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Incomplete Roster Charge"," "," "," ","                                   $16,569,982"," "," "," "," "," "," "

