" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Jackson Jr.                     Jaren Jackson Jr.","PF","28","$50,500,000","28.97%","$50,500,000","$50,500,000","$50,500,000","$50,500,000","2030"
"2","Morant                     Ja Morant","PG","28","$44,886,930","25.75%","$44,886,930","$44,886,930","$44,886,930","$44,886,930","2028"
"3","Aldama                     Santi Aldama","C","27","$17,007,043","9.76%","$17,007,043","$17,007,043","$17,007,043","'-","2028"
"4","Jerome                     Ty Jerome","SG","30","$9,659,100","5.54%","$9,659,100","$9,659,100","$9,659,100","$9,659,100","2028"
"5","Edey                     Zach Edey","C","25","$8,067,937","4.63%","$8,067,937","$8,067,937","$8,067,937","'-","2028"
"6","Coward                     Cedric Coward","SG","24","$6,286,920","3.61%","$6,286,920","$6,286,920","$6,286,920","'-","2029"
"7","Pippen Jr.                     Scotty Pippen Jr.","PG","27","$2,789,215","1.60%","$2,789,215","$2,789,215","$2,789,215","'-","2028"
"8","Spencer                     Cam Spencer","SG","27","$2,616,754","1.50%","$2,616,754","$2,616,754","$2,616,754","$2,616,754","2029"
"9","Wells                     Jaylen Wells","SG","24","$2,486,995","1.43%","$2,486,995","$2,486,995","$2,486,995","'-","2028"

