"Player (15 of 15 + 2 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Leonard                   Kawhi Leonard","SF","30","FA","$39,344,900","35.00%","$39,344,900","'-","'-","'-","$39,344,900"
"George                   Paul George","SG","31","VET-EXT","$39,344,900","35.00%","$39,344,900","'-","'-","'-","$39,344,900"
"Morris Sr.                   Marcus Morris Sr.","SF","32","FA","$15,627,907","13.90%","$15,627,907","'-","'-","'-","$15,627,907"
"Powell                   Norman Powell","SG","28","FA","$15,517,242","13.80%","$15,517,242","'-","'-","'-","$15,517,242"
"Kennard                   Luke Kennard","SG","25","RK-EXT","$13,347,727","11.87%","$12,727,273","$620,454","$1,288,637","'-","$12,727,273"
"Covington                   Robert Covington","PF","31","VET-EXT","$12,975,471","11.54%","$12,975,471","'-","'-","'-","$12,975,471"
"Jackson                   Reggie Jackson","PG","31","FA","$10,384,500","9.24%","$10,384,500","'-","'-","'-","$10,384,500"
"Zubac                   Ivica Zubac","C","24","FA","$7,518,518","6.69%","$7,518,518","'-","'-","'-","$7,518,518"
"Batum                   Nicolas Batum","SF","33","FA","$3,170,029","2.82%","$3,170,029","'-","'-","'-","$3,170,029"
"Mann                   Terance Mann","SG","25","RK","$1,782,621","1.59%","$1,782,621","'-","'-","'-","$1,782,621"
"Hartenstein                   Isaiah Hartenstein","C","23","","$1,669,178","1.48%","$1,729,217","'-","'-","'-","$1,729,217"
"Hood                   Rodney Hood","SF","29","FA","$1,669,178","1.48%","$2,239,544","'-","'-","'-","$2,239,544"
"Preston                   Jason Preston","PG","22","RK","$1,062,303","0.95%","$1,062,303","'-","'-","'-","$1,062,303"
"Boston Jr                   Brandon Boston Jr","SG","20","RK","$925,258","0.82%","$925,258","'-","'-","'-","$925,258"
"Coffey                   Amir Coffey","SG","24","ROS","$153,488","0.14%","$153,488","'-","'-","'-","$153,488"
"Scrubb                   Jay Scrubb","SG","21","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Moon                   Xavier Moon","SG","27","2W","Two-Way","'-","'-","'-","'-","'-","'-"

