" ","Player (7)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Young                     Trae Young","PG","29","$54,497,450","31.27%","","","","","Bird"
"2","Kuminga                     Jonathan Kuminga","PF","25","$36,450,000","20.91%","","","","","Bird"
"3","Gueye                     Mouhamed Gueye","PF","25","$2,957,063","1.70%","","","","","Bird"
"4","Matthews                     Wesley Matthews","SG","41","$2,588,091","1.48%","","","","","Non-Bird"
"5","Forrest                     Trent Forrest","PG","29","$2,588,091","1.48%","","","","","Early Bird"
"6","Dennis                     RayJ Dennis","PG","26","$2,308,823","1.32%","","","","","Two-Way"
"7","Windler                     Dylan Windler","SF","31","$2,308,823","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $4,303,890"," "," "," "," "," "," "

