" ","Player (3)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Turner                     Evan Turner","SF","34","$27,909,834","22.57%","","","","","Bird"
"2","Brooks                     Aaron Brooks","PG","38","$1,836,090","1.48%","","","","","Non-Bird"
"3","Monroe                     Greg Monroe","C","32","$1,836,090","1.48%","","","","","Non-Bird"
"","Round 2, Pick #50","","","                                                   -"," "," "," "," "," "," "

