"Player (15 of 15 + 5 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Leonard                   Kawhi Leonard","SF","33","VET-EXT","$49,205,800","35.00%","$49,205,800","'-","'-","'-","$49,205,800"
"Harden                   James Harden","SG","35","FA","$33,653,846","23.94%","$33,653,846","'-","'-","'-","$33,653,846"
"Powell                   Norman Powell","SG","31","FA","$19,241,379","13.69%","$19,241,379","'-","'-","'-","$19,241,379"
"Bogdanovic                   Bogdan Bogdanovic","SG","32","VET-EXT","$17,260,000","12.28%","$17,260,000","'-","'-","'-","$17,260,000"
"Zubac                   Ivica Zubac","C","27","VET-EXT","$11,743,210","8.35%","$11,743,210","'-","'-","'-","$11,743,210"
"Jones Jr.                   Derrick Jones Jr.","SF","27","FA","$9,523,810","6.77%","$9,523,810","'-","'-","'-","$9,523,810"
"Dunn                   Kris Dunn","PG","30","S&T","$5,168,000","3.68%","$5,168,000","'-","'-","'-","$5,168,000"
"Eubanks                   Drew Eubanks","C","28","FA","$5,000,000","3.56%","$5,000,000","'-","'-","'-","$5,000,000"
"Batum                   Nicolas Batum","SF","36","FA","$4,668,000","3.32%","$4,668,000","'-","'-","'-","$4,668,000"
"Coffey                   Amir Coffey","SG","27","FA","$3,938,271","2.80%","$3,938,271","'-","'-","'-","$3,938,271"
"Brown                   Kobe Brown","PF","25","RK-1ST","$2,533,920","1.80%","$2,533,920","'-","'-","'-","$2,533,920"
"Mills                   Patty Mills","PG","36","FA","$2,087,519","1.48%","$3,303,771","'-","'-","'-","$3,303,771"
"Christie                   Cameron Christie","SG","19","RK-2ND","$1,157,153","0.82%","$1,157,153","'-","'-","'-","$1,157,153"
"Miller                   Jordan Miller","SF","25","ROS","$1,050,000","0.75%","$1,050,000","'-","'-","'-","$1,050,000"
"Simmons                   Ben Simmons","PG","28","ROS","$755,826","0.54%","$1,082,061","'-","'-","'-","$1,082,061"
"Miller                   Jordan Miller","SF","25","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Lundy                   Seth Lundy","SG","24","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Jones                   Kai Jones","PF","24","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Flowers                   Trentyn Flowers","F","19","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Baldwin Jr.                   Patrick Baldwin Jr.","SF","22","2W","Two-Way","'-","'-","'-","'-","'-","'-"

