" ","Player (8)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Mahinmi                     Ian Mahinmi","C","38","$23,175,077","16.48%","","","","","Bird"
"2","Nunn                     Kendrick Nunn","PG","29","$6,825,000","4.85%","","","","","Early Bird"
"3","Sessions                     Ramon Sessions","PG","38","$2,087,519","1.48%","","","","","Non-Bird"
"4","Lawson                     Ty Lawson","PG","37","$2,087,519","1.48%","","","","","Non-Bird"
"5","Satoransky                     Tomas Satoransky","SG","33","$2,087,519","1.48%","","","","","Non-Bird"
"6","Napier                     Shabazz Napier","PG","33","$2,087,519","1.48%","","","","","Early Bird"
"7","Williams                     Johnathan Williams","PF","29","$1,862,265","1.32%","","","","","Two-Way"
"8","Winston                     Cassius Winston","PG","26","$1,862,265","1.32%","","","","","Two-Way"
"","Round 2, Pick #51","","","                                                   -"," "," "," "," "," "," "

