"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Johnson                   Tre Johnson","SG","23","RK-1ST","$34,470,633","17.94%","$16,476,964","","","Restricted Bird",""
"Mahinmi                   Ian Mahinmi","C","43","","$23,175,077","12.06%","'-","","","Bird",""
"Riley                   Will Riley","SF","23","RK-1ST","$18,466,056","9.61%","$9,485,398","","","Restricted Bird",""
"Nunn                   Kendrick Nunn","PG","34","FA","$6,825,000","3.55%","'-","","","Early Bird",""
"Sessions                   Ramon Sessions","PG","43","","$2,853,371","1.48%","'-","","","Non-Bird",""
"Satoransky                   Tomas Satoransky","SG","38","ROS","$2,853,371","1.48%","'-","","","Non-Bird",""
"Napier                   Shabazz Napier","PG","38","","$2,853,371","1.48%","'-","","","Early Bird",""
"Lawson                   Ty Lawson","PG","42","","$2,853,371","1.48%","'-","","","Non-Bird",""
"Winston                   Cassius Winston","PG","31","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Williams                   Johnathan Williams","PF","34","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Thor                   JT Thor","PF","27","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $18,980,160"," "," "," "," "," "," "

