"Player (6)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Pierce                   Paul Pierce","SF","","","$1,096,080","1.11%","","","","",""
"Delfino                   Carlos Delfino","SG","","","$650,000","0.66%","","","","",""
"Farmar                   Jordan Farmar","PG","","","$510,922","0.52%","","","","",""
"Raduljica                   Miroslav Raduljica","C","","","$252,042","0.25%","","","","",""
"Kilpatrick                   Sean Kilpatrick","SG","","","$83,129","0.08%","","","","",""
"Kilpatrick                   Sean Kilpatrick","SG","","","$83,129","0.08%","","","","",""

