"Player (14)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Sarr                   Alex Sarr","PF","23","RK-1ST","$39,029,495","21.33%","$21,934,577","","","Restricted Bird",""
"Mahinmi                   Ian Mahinmi","C","42","","$23,175,077","12.66%","'-","","","Bird",""
"Carrington                   Bub Carrington","PG","23","RK-1ST","$21,773,190","11.90%","$10,821,276","","","Restricted Bird",""
"Johnson                   AJ Johnson","PG","24","RK-1ST","$16,480,182","9.00%","$8,542,228","","","Restricted Bird",""
"George                   Kyshawn George","SG","25","RK-1ST","$16,307,676","8.91%","$8,490,864","","","Restricted Bird",""
"Nunn                   Kendrick Nunn","PG","33","FA","$6,825,000","3.73%","'-","","","Early Bird",""
"Champagnie                   Justin Champagnie","SF","27","ROS","$2,778,492","1.52%","'-","","","",""
"Sessions                   Ramon Sessions","PG","42","","$2,717,496","1.48%","'-","","","Non-Bird",""
"Satoransky                   Tomas Satoransky","SG","37","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Napier                   Shabazz Napier","PG","37","","$2,717,496","1.48%","'-","","","Early Bird",""
"Lawson                   Ty Lawson","PG","41","","$2,717,496","1.48%","'-","","","Non-Bird",""
"Winston                   Cassius Winston","PG","30","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Williams                   Johnathan Williams","PF","33","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Thor                   JT Thor","PF","26","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $15,063,620"," "," "," "," "," "," "

