" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Cousins                     DeMarcus Cousins","C","31","$95,930","0.09%","$95,930","$95,930","$151,821","$151,821"
"2","Cousins                     DeMarcus Cousins","C","31","$95,930","0.09%","$95,930","$95,930","$151,821","$151,821"
"3","Cousins                     DeMarcus Cousins","C","31","'-","'-","'-","'-","$151,821","$151,821"
"4","Ennis III                     James Ennis III","SF","31","'-","'-","'-","'-","$128,709","$128,709"
"5","Reed                     Davon Reed","SG","26","'-","'-","'-","'-","$95,930","$95,930"
"6","Reed                     Davon Reed","SG","26","'-","'-","'-","'-","$95,930","$95,930"
"7","Tucker                     Rayjon Tucker","SF","24","'-","'-","'-","'-","$95,930","$95,930"
"8","Reed                     Davon Reed","SG","26","'-","'-","'-","'-","$94,304","$94,304"
"9","Jones                     Carlik Jones","PG","24","'-","'-","'-","'-","$53,176","$53,176"

