"Player (13)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Poole                   Jordan Poole","SG","28","RK-EXT","$51,306,600","29.44%","'-","","","Bird",""
"Hawkins                   Jordan Hawkins","SG","25","RK-1ST","$21,065,685","12.09%","$10,469,646","","","Restricted Bird",""
"Bey                   Saddiq Bey","SF","28","FA","$12,237,288","7.02%","'-","","","Bird",""
"Looney                   Kevon Looney","C","31","FA","$10,400,000","5.97%","'-","","","Early Bird",""
"Hernangomez                   Willy Hernangomez","C","33","FA","$4,642,804","2.66%","'-","","","Bird",""
"Matkovic                   Karlo Matkovic","PF","26","RK-2ND","$3,099,966","1.78%","$3,099,966","","","Restricted Bird",""
"Snell                   Tony Snell","SG","36","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Payton                   Elfrid Payton","PG","33","ROS","$2,588,091","1.48%","'-","","","Early Bird",""
"Boston Jr                   Brandon Boston Jr","SG","26","ROS","$2,588,091","1.48%","'-","","","Early Bird",""
"Nunnally                   James Nunnally","SF","37","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Harper                   Jared Harper","PG","30","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Clark                   Gary Clark","PF","33","2W","$2,308,823","1.32%","'-","","","Non-Bird",""
"Brooks Jr.                   Keion Brooks Jr.","SF","","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $5,738,520"," "," "," "," "," "," "

