" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gilgeous-Alexander                     Shai Gilgeous-Alexander","PG","25","$33,386,850","24.55%","$33,386,850","$33,386,850","$33,386,850","$33,386,850","2031"
"2","Hayward                     Gordon Hayward","SF","33","$33,319,397","24.50%","$33,319,397","$33,319,397","$11,948,276","$31,500,000","2024"
"3","Dort                     Luguentz Dort","SG","24","$15,277,778","11.23%","$16,277,778","$15,277,778","$15,277,778","$15,277,778","2027"
"4","Holmgren                     Chet Holmgren","C","21","$10,386,000","7.64%","$10,386,000","$10,386,000","$10,386,000","$10,386,000","2031"
"5","Giddey                     Josh Giddey","SG","21","$6,587,040","4.84%","$6,587,040","$6,587,040","$6,587,040","$6,587,040","2029"
"6","Williams                     Kenrich Williams","PF","29","$6,175,000","4.54%","$6,175,000","$6,175,000","$6,175,000","$6,175,000","2027"
"7","Wallace                     Cason Wallace","PG","20","$5,291,400","3.89%","$5,291,400","$5,291,400","$5,291,400","$5,291,400","2027"
"8","Dieng                     Ousmane Dieng","SF","20","$4,798,440","3.53%","$4,798,440","$4,798,440","$4,798,440","$4,798,440","2026"
"9","Williams                     Jalen Williams","SF","22","$4,558,680","3.35%","$4,558,680","$4,558,680","$4,558,680","$4,558,680","2031"
"10","Williams                     Jaylin Williams","C","21","$2,000,000","1.47%","$2,000,000","$2,000,000","$2,000,000","$2,000,000","2028"
"11","Joe                     Isaiah Joe","SG","24","$1,997,238","1.47%","$1,997,238","$1,997,238","$1,997,238","$1,997,238","2028"
"12","Wiggins                     Aaron Wiggins","SG","25","$1,836,096","1.35%","$1,836,096","$1,836,096","$1,836,096","$1,836,096","2029"
"13","Waters III                     Lindy Waters III","SF","26","$766,095","0.56%","$766,095","$766,095","$766,095","$766,095","2026"
"14","Biyombo                     Bismack Biyombo","C","31","$754,488","0.55%","$754,488","$754,488","$1,194,075","$1,194,075","2026"
"15","Muscala                     Mike Muscala","C","32","$510,730","0.38%","$510,730","$510,730","$808,297","$808,297","2024"
"16","Sarr                     Olivier Sarr","C","24","Two-Way","'-","'-","'-","'-","'-","2024"
"17","Johnson                     Keyontae Johnson","SF","23","Two-Way","'-","'-","'-","'-","'-","2024"
"18","Flagler                     Adam Flagler","G","24","Two-Way","'-","'-","'-","'-","'-","2025"

