"Player (23)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Curry                   Stephen Curry","PG","39","VET-EXT","$65,716,516","37.70%","'-","","","",""
"Butler                   Jimmy Butler","SF","38","VET-EXT","$65,493,050","37.57%","'-","","","",""
"Green                   Draymond Green","PF","37","FA","$41,517,857","23.82%","'-","","","Bird",""
"Kuminga                   Jonathan Kuminga","PF","25","FA","$36,450,000","20.91%","'-","","","Bird",""
"Podziemski                   Brandin Podziemski","SG","24","RK-1ST","$17,038,377","9.78%","$8,666,855","","","Restricted Bird",""
"Horford                   Al Horford","C","41","FA","$7,760,025","4.45%","'-","","","Early Bird",""
"Jackson-Davis                   Trayce Jackson-Davis","PF","27","RK-2ND","$2,957,063","1.70%","'-","","","Bird",""
"West                   David West","PF","47","","$2,588,091","1.48%","'-","","","Early Bird",""
"Lamb                   Anthony Lamb","SF","30","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Jerebko                   Jonas Jerebko","PF","40","","$2,588,091","1.48%","'-","","","Non-Bird",""
"Iguodala                   Andre Iguodala","SF","44","FA","$2,588,091","1.48%","'-","","","Early Bird",""
"Green                   JaMychal Green","PF","37","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Garuba                   Usman Garuba","PF","25","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Bogut                   Andrew Bogut","C","43","","$2,588,091","1.48%","'-","","","Non-Bird",""
"Bjelica                   Nemanja Bjelica","PF","39","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Barnes                   Matt Barnes","SF","47","","$2,588,091","1.48%","'-","","","Non-Bird",""
"Melton                   De'Anthony Melton","SG","29","FA","$2,579,865","1.48%","'-","","","Early Bird",""
"Knox                   Kevin Knox","SF","28","ROS","$2,579,865","1.48%","'-","","","Non-Bird",""
"Robinson                   Jerome Robinson","SG","30","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Armstrong                   Taran Armstrong","G","26","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Mannion                   Nico Mannion","PG","26","2W","$2,308,823","1.32%","$2,308,823","","","Two-Way",""
"Leons                   Malevy Leons","PF","28","2W","$2,308,823","1.32%","$2,308,823","","","",""
"Cryer                   L.J. Cryer","PG","26","2W","$2,308,823","1.32%","$2,308,823","","","",""
"Incomplete Roster Charge"," "," "," ","                                   $12,911,670"," "," "," "," "," "," "

