" ","Player (2)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Nwora                     Jordan Nwora","SF","27","$5,700,000","3.69%","","","","","Bird"
"2","Barton                     Will Barton","SG","35","$2,296,274","1.48%","","","","","Non-Bird"

