"Player (4)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Brown                   Kobe Brown","PF","27","RK-1ST","$4,792,059","2.89%","'-","","","Bird",""
"Johnson                   James Johnson","PF","39","FA","$2,464,849","1.48%","'-","","","Bird",""
"York                   Gabe York","PG","33","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Jackson                   Quenton Jackson","G","28","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""

