"Player (8)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Hill                   Grant Hill","SF","","","$2,045,065","3.49%","","","","",""
"Wayns                   Maalik Wayns","PG","","","$329,470","0.56%","","","","",""
"Jackson                   Stephen Jackson","SF","","","$255,204","0.43%","","","","",""
"Morris                   Darius Morris","PG","","","$52,017","0.09%","","","","",""
"Morris                   Darius Morris","PG","","","$52,017","0.09%","","","","",""
"Vujacic                   Sasha Vujacic","SG","","","$52,017","0.09%","","","","",""
"Davies                   Brandon Davies","PF","","","$50,000","0.09%","","","","",""
"Wayns                   Maalik Wayns","PG","","","$46,404","0.08%","","","","",""

