" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Andersen                     David Andersen","C","31","$2,685,185","4.63%","$2,685,185","$2,685,185","$2,685,185","'-"
"2","Summers                     DaJuan Summers","PF","24","$323,632","0.56%","$323,632","$323,632","$323,632","'-"
"3","Johnson                     Trey Johnson","SF","27","$233,050","0.40%","$233,050","$233,050","'-","'-"
"4","Jones                     Solomon Jones","PF","27","$90,246","0.16%","$90,246","$90,246","'-","'-"
"5","Jones                     Solomon Jones","PF","27","$75,205","0.13%","$75,205","$75,205","'-","'-"
"6","Watkins                     Darryl Watkins","C","","$57,740","0.10%","$57,740","$57,740","$57,740","'-"
"7","Dyson                     Jerome Dyson","SG","","$50,232","0.09%","$50,232","$50,232","$50,232","'-"
"8","Thomas                     Lance Thomas","SF","23","$43,056","0.07%","$43,056","$43,056","$43,056","$43,056"
"9","Foote                     Jeff Foote","C","","$43,056","0.07%","$43,056","$43,056","$43,056","'-"
"10","Sloan                     Donald Sloan","PG","24","$35,880","0.06%","$35,880","$35,880","$35,880","'-"
"11","Sloan                     Donald Sloan","PG","24","$35,880","0.06%","$35,880","$35,880","$35,880","'-"
"12","Thomas                     Lance Thomas","SF","23","$35,880","0.06%","$35,880","$35,880","$35,880","$35,880"
"13","Thomas                     Lance Thomas","SF","23","$21,528","0.04%","$21,528","$21,528","$21,528","$21,528"
"14","Dyson                     Jerome Dyson","SG","","$21,527","0.04%","$21,527","$21,527","$21,527","'-"

