"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Beal                   Bradley Beal","SG","","","$19,383,010","11.12%","","","","",""
"Little                   Nassir Little","SF","","","$3,107,143","1.78%","","","","",""

