" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Brand                     Elton Brand","PF","32","$17,059,726","29.39%","$17,059,726","$17,059,726","$13,730,999","'-","2013"
"2","Iguodala                     Andre Iguodala","SF","28","$13,531,750","23.31%","$13,531,750","$13,531,750","$10,891,409","'-","2013"
"3","Young                     Thaddeus Young","PF","23","$7,478,261","12.88%","$7,478,261","$7,478,261","$6,019,088","$6,019,088","2015"
"4","Williams                     Louis Williams","SG","25","$5,176,000","8.92%","$5,176,000","$5,176,000","$4,166,049","$4,166,049","2012"
"5","Turner                     Evan Turner","SF","23","$4,947,840","8.52%","$4,947,840","$4,947,840","$3,982,408","$3,982,408","2014"
"6","Hawes                     Spencer Hawes","PF","23","$4,051,023","6.98%","$4,051,023","$4,051,023","$3,260,579","$3,260,579","2012"
"7","Holiday                     Jrue Holiday","PG","21","$1,741,440","3.00%","$1,741,440","$1,741,440","$1,401,647","$1,401,647","2028"
"8","Vucevic                     Nikola Vucevic","C","21","$1,645,440","2.83%","$1,645,440","$1,645,440","$1,324,379","$1,324,379",""
"9","Meeks                     Jodie Meeks","SG","24","$884,293","1.52%","$884,293","$884,293","$711,748","$711,748","2012"
"10","Battie                     Tony Battie","PF","","$854,389","1.47%","$854,389","$854,389","$1,088,341","'-","2012"
"11","Allen                     LaVoy Allen","PF","22","$473,604","0.82%","$473,604","$473,604","$381,193","'-","2012"
"12","Silas                     Xavier Silas","SG","24","$11,458","0.02%","$11,458","$11,458","$11,458","'-","2012"

