" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Belinelli                     Marco Belinelli","SG","34","$7,600,000","6.96%","","","","",""
"2","Cunningham                     Dante Cunningham","PF","33","$2,984,400","2.73%","","","","",""
"3","Lee                     David Lee","PF","37","$1,620,564","1.48%","","","","",""
"4","Pondexter                     Quincy Pondexter","SG","32","$1,620,564","1.48%","","","","",""
"5","Motiejunas                     Donatas Motiejunas","PF","30","$1,620,564","1.48%","","","","",""
"6","Lauvergne                     Joffrey Lauvergne","PF","29","$1,620,564","1.48%","","","","",""
"7","Hilliard II                     Darrun Hilliard II","SG","27","$1,445,697","1.32%","","","","",""
"8","Costello                     Matt Costello","C","27","$1,445,697","1.32%","","","","",""
"9","Moore                     Ben Moore","PF","25","$1,445,697","1.32%","","","","",""

