"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Paul                   Chris Paul","PG","27","RK-EXT","$17,779,458","30.63%","$17,779,458","'-","'-","'-","'-"
"Jordan                   DeAndre Jordan","C","24","","$10,532,977","18.15%","$10,532,977","'-","'-","'-","$10,532,977"
"Odom                   Lamar Odom","PF","33","","$8,200,000","14.13%","$8,200,000","'-","'-","'-","'-"
"Butler                   Caron Butler","SF","32","","$8,000,000","13.78%","$8,000,000","'-","'-","'-","'-"
"Griffin                   Blake Griffin","PF","23","RK-1ST","$7,226,892","12.45%","$7,226,892","'-","'-","'-","$7,226,892"
"Crawford                   Jamal Crawford","SG","32","","$5,000,000","8.61%","$5,000,000","'-","'-","'-","'-"
"Billups                   Chauncey Billups","PG","36","","$4,000,000","6.89%","$4,000,000","'-","'-","'-","'-"
"Hill                   Grant Hill","SF","40","","$1,957,000","3.37%","$1,957,000","'-","'-","'-","'-"
"Bledsoe                   Eric Bledsoe","PG","23","RK-1ST","$1,707,720","2.94%","$1,707,720","'-","'-","'-","$1,707,720"
"Green                   Willie Green","SF","31","","$1,375,000","2.37%","$1,375,000","'-","'-","'-","'-"
"Hollins                   Ryan Hollins","C","28","","$854,389","1.47%","$1,069,509","'-","'-","'-","'-"
"Turiaf                   Ronny Turiaf","C","30","","$854,389","1.47%","$1,146,337","'-","'-","'-","'-"
"Barnes                   Matt Barnes","SF","32","","$854,389","1.47%","$1,229,255","'-","'-","'-","'-"
"Wayns                   Maalik Wayns","PG","21","","$58,504","0.10%","$58,504","'-","'-","'-","'-"
"Gomes                   Ryan Gomes","SF","30","amnesty","'-","'-","$4,000,000","'-","'-","'-","'-"

