" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Mykhailiuk                     Sviatoslav Mykhailiuk","SF","25","$1,878,720","1.52%","$1,878,720","$1,878,720","$1,878,720","'-"
"2","Hernangomez                     Juancho Hernangomez","PF","27","$1,836,090","1.48%","$1,836,090","$1,836,090","$2,298,385","'-"
"3","Champagnie                     Justin Champagnie","F","21","$825,000","0.67%","$825,000","$825,000","$825,000","'-"
"4","Wilson                     DJ Wilson","PF","26","$250,000","0.20%","$250,000","$250,000","$250,000","'-"
"5","Wainright                     Ishmail Wainright","SF","28","$125,000","0.10%","$125,000","$125,000","$125,000","'-"
"6","Wieskamp                     Joe Wieskamp","SF","","$94,136","0.08%","$94,136","$105,522","$94,136","$94,136"
"7","Wieskamp                     Joe Wieskamp","SF","","$94,136","0.08%","$94,136","$105,522","$94,136","$94,136"
"8","Brooks                     Armoni Brooks","SG","24","$50,000","0.04%","$50,000","$50,000","$50,000","'-"
"9","Lee                     Saben Lee","PG","23","$10,492","0.01%","$10,492","$10,492","$10,492","'-"

