" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Noah                     Joakim Noah","C","35","$6,431,667","5.89%","$6,431,667","$6,431,667","$6,431,667","'-"
"2","Ferguson                     Terrance Ferguson","SF","22","$3,944,013","3.61%","$3,944,013","$3,944,013","$1,431,731","'-"
"3","Poirier                     Vincent Poirier","C","27","$2,619,207","2.40%","$2,619,207","$2,619,207","$932,868","'-"
"4","Evans                     Jacob Evans","SG","23","$2,017,320","1.85%","$2,017,320","$2,017,320","$2,017,320","'-"
"5","Spellman                     Omari Spellman","PF","23","$1,988,280","1.82%","$1,988,280","$1,988,280","$1,988,280","'-"
"6","Gibson                     Taj Gibson","C","35","$1,000,000","0.92%","$1,000,000","$1,000,000","$1,000,000","'-"
"7","Ellington                     Wayne Ellington","SG","33","$1,000,000","0.92%","$1,000,000","$1,000,000","$1,000,000","'-"
"8","Payton                     Elfrid Payton","PG","26","$1,000,000","0.92%","$1,000,000","$1,000,000","$1,000,000","'-"
"9","Henson                     John Henson","PF","30","$110,998","0.10%","$110,998","$110,998","$158,907","$158,907"
"10","Pelle                     Norvel Pelle","PF","27","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"11","Pelle                     Norvel Pelle","PF","27","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"12","Harper                     Jared Harper","PG","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"13","White III                     Andrew White III","G","27","$25,000","0.02%","$25,000","$25,000","$25,000","'-"
"14","Hall                     Tyler Hall","SG","23","$25,000","0.02%","$25,000","$25,000","$25,000","'-"

