" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Nader                     Abdel Nader","SF","28","$2,000,000","1.78%","$2,000,000","$2,000,000","$2,000,000","'-"
"2","Kaminsky                     Frank Kaminsky","C","28","$1,669,178","1.48%","$1,669,178","$1,669,178","$2,089,448","'-"
"3","Jackson                     Justin Jackson","SF","26","$95,930","0.09%","$95,930","$95,930","$102,831","$102,831"
"4","Biyombo                     Bismack Biyombo","C","29","'-","'-","'-","'-","$151,821","$151,821"
"5","Jackson                     Justin Jackson","SF","26","'-","'-","'-","'-","$102,831","$102,831"
"6","Terry                     Emanuel Terry","F","26","'-","'-","'-","'-","$85,578","$85,578"
"7","Walker                     M.J. Walker","SF","23","'-","'-","'-","'-","$53,176","$53,176"
"8","Bass                     Paris Bass","G","26","'-","'-","'-","'-","$53,176","$53,176"
"9","Bass                     Paris Bass","G","26","'-","'-","'-","'-","$53,176","$53,176"

