" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Stephenson                     Lance Stephenson","SG","31","'-","'-","'-","'-","$138,019","$138,019"
"2","Iwundu                     Wesley Iwundu","SF","27","'-","'-","'-","'-","$102,831","$102,831"
"3","Clemons                     Chris Clemons","PG","24","'-","'-","'-","'-","$95,930","$95,930"
"4","Oliver                     Cameron Oliver","PF","25","'-","'-","'-","'-","$85,578","$85,578"
"5","Barber                     Cat Barber","PG","27","'-","'-","'-","'-","$53,176","$53,176"
"6","Brown                     Chaundee Brown","SF","23","'-","'-","'-","'-","$53,176","$53,176"
"7","Hill                     Malcolm Hill","SF","26","'-","'-","'-","'-","$53,176","$53,176"
"8","Ellison                     Malik Ellison","SF","25","'-","'-","'-","'-","$53,176","$53,176"
"9","Tillman                     Justin Tillman","PF","25","'-","'-","'-","'-","$53,176","$53,176"

