" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Jennings                     Brandon Jennings","PG","25","$8,000,000","12.69%","$8,000,000","$8,000,000","$8,000,000","'-","2016"
"2","Prince                     Tayshaun Prince","SF","34","$7,707,865","12.22%","$7,707,865","$7,707,865","$7,707,865","'-","2015"
"3","Meeks                     Jodie Meeks","SG","27","$6,000,000","9.51%","$6,000,000","$6,000,000","$6,000,000","$6,000,000","2017"
"4","Monroe                     Greg Monroe","C","24","$5,479,933","8.69%","$5,479,933","$5,479,933","$5,479,933","'-","2015"
"5","Butler                     Caron Butler","SF","34","$4,500,000","7.14%","$4,500,000","$4,500,000","$4,500,000","'-","2016"
"6","Anthony                     Joel Anthony","C","32","$3,800,000","6.03%","$3,800,000","$3,800,000","$3,800,000","'-","2015"
"7","Tolliver                     Anthony Tolliver","PF","29","$3,000,000","4.76%","$3,000,000","$3,000,000","$3,000,000","'-","2016"
"8","Caldwell-Pope                     Kentavious Caldwell-Pope","SG","21","$2,772,480","4.40%","$2,772,480","$2,772,480","$2,772,480","'-","2027"
"9","Drummond                     Andre Drummond","C","21","$2,568,360","4.07%","$2,568,360","$2,568,360","$2,568,360","$2,568,360","2016"
"10","Jackson                     Reggie Jackson","PG","24","$2,204,370","3.50%","$2,204,370","$2,204,370","$2,204,370","$1,260,360","2015"
"11","Williams                     Shawne Williams","SF","28","$1,227,985","1.95%","$1,227,985","$1,227,985","$1,227,985","'-","2016"
"12","Martin                     Cartier Martin","PF","30","$1,145,686","1.82%","$1,145,686","$1,145,686","$1,145,686","'-","2016"
"13","Dinwiddie                     Spencer Dinwiddie","PG","21","$700,000","1.11%","$700,000","$700,000","$700,000","$700,000","2017"
"14","Lucas III                     John Lucas III","PG","32","$269,189","0.43%","$269,189","$269,189","$336,966","'-","2015"
"15","Miller                     Quincy Miller","SF","22","$183,049","0.29%","$183,049","$183,049","$183,049","'-","2016"

