"Player (9)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Collins                   John Collins","PF","29","FA","$39,870,000","24.02%","'-","","","Bird",""
"Brown                   Kobe Brown","PF","27","RK-1ST","$4,792,059","2.89%","'-","","","Bird",""
"Simmons                   Ben Simmons","PG","30","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Paul                   Chris Paul","PG","41","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Mills                   Patty Mills","PG","38","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Hood                   Rodney Hood","SF","34","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Moon                   Xavier Moon","SG","32","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Washington Jr.                   TyTy Washington Jr.","PG","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Miller                   Jordan Miller","SF","27","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $1,366,314"," "," "," "," "," "," "

