"Player (15 of 15 + 2 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Leonard                   Kawhi Leonard","SF","31","FA","$42,492,492","34.36%","$42,492,492","'-","'-","'-","$42,492,492"
"George                   Paul George","SG","32","VET-EXT","$42,492,492","34.36%","$42,492,492","'-","'-","'-","$42,492,492"
"Gordon                   Eric Gordon","SG","34","VET-EXT","$19,568,360","15.83%","$19,568,360","'-","'-","'-","$19,568,360"
"Powell                   Norman Powell","SG","29","FA","$16,758,621","13.55%","$16,758,621","'-","'-","'-","$16,758,621"
"Morris Sr.                   Marcus Morris Sr.","SF","33","FA","$16,372,093","13.24%","$16,372,093","'-","'-","'-","$16,372,093"
"Covington                   Robert Covington","PF","32","VET-EXT","$12,307,692","9.95%","$12,307,692","'-","'-","'-","$12,307,692"
"Batum                   Nicolas Batum","SF","34","FA","$10,843,350","8.77%","$10,843,350","'-","'-","'-","$10,843,350"
"Zubac                   Ivica Zubac","C","25","VET-EXT","$10,123,457","8.19%","$10,123,457","'-","'-","'-","$10,123,457"
"Plumlee                   Mason Plumlee","C","32","FA","$9,080,417","7.34%","$8,525,000","'-","'-","'-","$8,525,000"
"Coffey                   Amir Coffey","SG","25","FA","$3,395,062","2.75%","$3,395,062","'-","'-","'-","$3,395,062"
"Hyland                   Nah'Shon Hyland","PG","22","RK-1ST","$2,201,520","1.78%","$2,201,520","'-","'-","'-","$2,201,520"
"Mann                   Terance Mann","SG","26","RK","$1,930,681","1.56%","$1,930,681","'-","'-","'-","$1,930,681"
"Preston                   Jason Preston","PG","23","RK","$1,563,518","1.26%","$1,563,518","'-","'-","'-","$1,563,518"
"Boston Jr                   Brandon Boston Jr","SG","21","RK","$1,563,518","1.26%","$1,563,518","'-","'-","'-","$1,563,518"
"Westbrook                   Russell Westbrook","PG","34","ROS","$495,955","0.40%","$784,914","'-","'-","'-","$784,914"
"Moon                   Xavier Moon","SG","28","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Diabate                   Moussa Diabate","PF","21","2W","Two-Way","'-","'-","'-","'-","'-","'-"

