" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Nelson                     Jameer Nelson","PG","31","$8,600,000","14.66%","$8,600,000","$8,600,000","$8,600,000","$8,600,000","2014"
"2","Afflalo                     Arron Afflalo","SG","28","$7,500,000","12.78%","$7,500,000","$7,500,000","$7,500,000","'-","2015"
"3","Oladipo                     Victor Oladipo","SG","21","$4,763,760","8.12%","$4,763,760","$4,763,760","$4,763,760","$4,763,760",""
"4","Maxiell                     Jason Maxiell","PF","30","$2,500,000","4.26%","$2,500,000","$2,500,000","$2,500,000","'-","2014"
"5","Harkless                     Maurice Harkless","SF","20","$1,809,840","3.08%","$1,809,840","$1,809,840","$1,809,840","$1,809,840","2016"
"6","Vucevic                     Nikola Vucevic","C","23","$1,793,520","3.06%","$1,793,520","$1,793,520","$1,793,520","$1,793,520",""
"7","Harris                     Tobias Harris","PF","21","$1,545,840","2.63%","$1,545,840","$1,545,840","$1,545,840","$1,545,840","2026"
"8","Nicholson                     Andrew Nicholson","PF","24","$1,482,000","2.53%","$1,482,000","$1,482,000","$1,482,000","$1,482,000","2016"
"9","Price                     Ronnie Price","PG","30","$1,265,977","2.16%","$1,265,977","$1,265,977","$1,265,977","'-","2015"
"10","Moore                     E'Twaun Moore","SG","24","$884,293","1.51%","$884,293","$884,293","$884,293","$884,293","2014"
"11","Lamb                     Doron Lamb","SG","22","$788,872","1.34%","$788,872","$788,872","$788,872","'-","2014"
"12","O'Quinn                     Kyle O'Quinn","C","23","$788,872","1.34%","$788,872","$788,872","$788,872","$788,872","2015"
"13","Dedmon                     Dewayne Dedmon","C","24","$300,000","0.51%","$300,000","$300,000","$300,000","'-","2016"
"14","Arenas                     Gilbert Arenas","SG","32","'-","'-","'-","'-","$22,346,536","'-",""

