" ","Player (5)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Beasley                     Michael Beasley","SF","25","$4,666,667","7.95%","$4,666,667","$4,666,667","'-","'-"
"2","Kravtsov                     Vyacheslav Kravtsov","C","26","$1,500,000","2.56%","$1,500,000","$1,500,000","'-","'-"
"3","Haddadi                     Hamed Haddadi","C","28","$200,000","0.34%","$200,000","$200,000","$200,000","'-"
"4","Barbosa                     Leandro Barbosa","SG","31","$52,017","0.09%","$52,017","$52,017","$82,324","'-"
"5","Barbosa                     Leandro Barbosa","SG","31","$52,017","0.09%","$52,017","$52,017","$82,324","'-"

