" ","Player (3)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Beverley                     Patrick Beverley","PG","34","$13,000,000","10.51%","$13,000,000","$13,000,000","$4,408,046","'-"
"2","Ross                     Terrence Ross","SG","31","$10,581,484","8.56%","$10,581,484","$10,581,484","$10,581,484","'-"
"3","Hampton                     RJ Hampton","PG","21","$2,412,840","1.95%","$2,412,840","$2,412,840","$2,412,840","'-"

