" ","Player (5)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Okoro                     Isaac Okoro","SG","27","$22,448,147","12.88%","","","","","Bird"
"2","Smith                     Jalen Smith","PF","27","$17,914,285","10.28%","","","","","Bird"
"3","Miller                     Leonard Miller","SF","24","$2,957,063","1.70%","","","","","Bird"
"4","Horton-Tucker                     Talen Horton-Tucker","SG","27","$2,588,091","1.48%","","","","","Non-Bird"
"5","Thomas                     Matt Thomas","SG","33","$2,588,091","1.48%","","","","","Non-Bird"
"Incomplete Roster Charge","","","","                                                   $8,607,780"," "," "," "," "," "," "

