" ","Player (19)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Walker                     Kemba Walker","PG","31","$26,238,422","23.34%","$26,238,422","$26,238,422","$26,238,422","'-"
"2","Okpala                     KZ Okpala","SF","22","$1,782,621","1.59%","$1,782,621","$1,782,621","$614,697","'-"
"3","Deck                     Gabriel Deck","F","26","$1,690,507","1.50%","$1,690,507","$1,690,507","$1,690,507","'-"
"4","Singler                     Kyle Singler","SF","33","$999,200","0.89%","$999,200","$999,200","$999,200","'-"
"5","Oni                     Miye Oni","SG","24","$850,331","0.76%","$850,331","$850,331","$51,225","'-"
"6","Diakite                     Mamadi Diakite","PF","25","$783,500","0.70%","$783,500","$783,500","$783,500","'-"
"7","Patterson                     Patrick Patterson","PF","32","$737,066","0.66%","$737,066","$737,066","$737,066","'-"
"8","Schofield                     Admiral Schofield","SF","24","$300,000","0.27%","$300,000","$300,000","$300,000","'-"
"9","Hoard                     Jaylen Hoard","F","22","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"10","Diakite                     Mamadi Diakite","PF","25","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"11","Diakite                     Mamadi Diakite","PF","25","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"12","Simpson                     Zavier Simpson","PG","24","$37,223","0.03%","$37,223","$67,151","$37,223","$37,223"
"13","Kalaitzakis                     Georgios Kalaitzakis","SF","23","$37,223","0.03%","$37,223","$67,151","$37,223","$37,223"
"14","Hopson                     Scotty Hopson","SF","32","'-","'-","'-","'-","$99,380","$99,380"
"15","Hoard                     Jaylen Hoard","F","22","'-","'-","'-","'-","$95,930","$95,930"
"16","Diakite                     Mamadi Diakite","PF","25","'-","'-","'-","'-","$85,578","$85,578"
"17","Edwards                     Rob Edwards","SG","25","'-","'-","'-","'-","$53,176","$53,176"
"18","Sarr                     Olivier Sarr","C","22","'-","'-","'-","'-","$53,176","$53,176"
"19","Sarr                     Olivier Sarr","C","22","'-","'-","'-","'-","$53,176","$53,176"

