" ","Player (4)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Turner                     Evan Turner","SF","35","$27,909,834","20.52%","","","","","Bird"
"2","Brooks                     Aaron Brooks","PG","39","$2,019,706","1.48%","","","","","Non-Bird"
"3","Monroe                     Greg Monroe","C","33","$2,019,706","1.48%","","","","","Non-Bird"
"4","Rivers                     Austin Rivers","SG","31","$2,019,706","1.48%","","","","","Non-Bird"

