" ","Player (2)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Johnson                     James Johnson","PF","38","$2,296,274","1.48%","","","","","Bird"
"2","York                     Gabe York","PG","32","$2,048,494","1.32%","","","","","Two-Way"

