" ","Player (7)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Smith                     Josh Smith","SF","30","$5,331,729","7.62%","$5,331,729","$5,331,729","$5,331,729","'-"
"2","Granger                     Danny Granger","SF","32","$2,170,465","3.10%","$2,170,465","$2,170,465","$2,170,465","'-"
"3","Martin                     Cartier Martin","PF","31","$1,270,964","1.82%","$1,270,964","$1,270,964","$1,270,964","'-"
"4","Gray                     Aaron Gray","C","31","$452,049","0.65%","$452,049","$452,049","$452,049","'-"
"5","Brown                     Lorenzo Brown","PG","25","$55,722","0.08%","$55,722","$55,722","$55,722","'-"
"6","Brown                     Lorenzo Brown","PG","25","$55,722","0.08%","$55,722","$55,722","$55,722","'-"
"7","Harper                     Justin Harper","SF","26","$49,709","0.07%","$49,709","$49,709","$49,709","'-"

