" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Jones                     Dominique Jones","SG","24","$1,276,560","2.20%","$1,276,560","$1,276,560","$1,276,560","'-"
"2","West                     Delonte West","PG","","$854,389","1.47%","$854,389","$854,389","$1,223,166","'-"
"3","Murphy                     Troy Murphy","PF","32","$250,000","0.43%","$250,000","$250,000","'-","'-"
"4","Fisher                     Derek Fisher","PG","38","$206,804","0.36%","$206,804","$206,804","$206,804","'-"
"5","Douglas-Roberts                     Chris Douglas-Roberts","SG","26","$72,892","0.13%","$72,892","$72,892","$72,892","'-"
"6","Curry                     Eddy Curry","C","","$55,678","0.10%","$55,678","$55,678","$55,678","'-"
"7","James                     Mike James","PG","37","$50,258","0.09%","$50,258","$50,258","'-","'-"
"8","James                     Mike James","PG","37","$50,258","0.09%","$50,258","$50,258","'-","'-"
"9","Dentmon                     Justin Dentmon","PG","","$44,835","0.08%","$44,835","$44,835","$44,835","'-"
"10","Akognon                     Josh Akognon","PG","26","$27,859","0.05%","$27,859","$27,859","$27,859","'-"
"11","Wright                     Chris Wright","PG","23","$27,859","0.05%","$27,859","$27,859","'-","'-"
"12","Wright                     Chris Wright","PG","23","$27,859","0.05%","$27,859","$27,859","'-","'-"

