" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Jones                     James Jones","SG","31","$1,650,667","2.84%","$1,650,667","$1,650,667","$1,650,667","$1,650,667"
"2","House                     Eddie House","SG","","$1,399,507","2.41%","$1,399,507","$1,399,507","$1,399,507","'-"
"3","Ilgauskas                     Zydrunas Ilgauskas","C","","$1,399,507","2.41%","$1,399,507","$1,399,507","$1,399,507","'-"
"4","Beverley                     Patrick Beverley","PG","23","$788,872","1.36%","$788,872","$788,872","$788,872","'-"
"5","Turiaf                     Ronny Turiaf","C","29","$340,305","0.59%","$340,305","$340,305","$340,305","'-"
"6","Hasbrouck                     Kenny Hasbrouck","SG","","$300,000","0.52%","$300,000","$300,000","'-","'-"
"7","Gladness                     Mickell Gladness","PF","25","$177,224","0.31%","$177,224","$177,224","'-","'-"
"8","Gladness                     Mickell Gladness","PF","25","$43,056","0.07%","$43,056","$43,056","'-","'-"
"9","Gladness                     Mickell Gladness","PF","25","$38,194","0.07%","$38,194","$38,194","$38,194","'-"
"10","Gladness                     Mickell Gladness","PF","25","$35,880","0.06%","$35,880","$35,880","'-","'-"

