" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Nicholson                     Andrew Nicholson","PF","33","$2,844,430","2.30%","$2,844,430","$2,844,430","$2,844,430","'-"
"2","Arcidiacono                     Ryan Arcidiacono","PG","28","$2,133,278","1.73%","$2,133,278","$2,133,278","$723,353","'-"
"3","Brown III                     Greg Brown III","PF","21","$1,563,518","1.26%","$1,563,518","$1,563,518","$1,563,518","'-"
"4","Bledsoe                     Eric Bledsoe","PG","33","$1,300,000","1.05%","$1,300,000","$1,300,000","$1,300,000","'-"
"5","Louzada                     Didi Louzada","SF","23","$268,032","0.22%","$268,032","$268,032","$268,032","'-"
"6","Harrison                     Shaquille Harrison","PG","29","$105,522","0.09%","$105,522","$105,522","$122,602","$122,602"
"7","Mays                     Skylar Mays","SG","25","$105,522","0.09%","$105,522","$105,522","$105,522","$105,522"
"8","Minaya                     Justin Minaya","F","23","$35,096","0.03%","$35,096","$63,313","$35,096","$35,096"
"9","Mays                     Skylar Mays","SG","25","$10,552","0.01%","$10,552","$10,552","$10,552","$10,552"
"10","Comanche                     Chance Comanche","C","26","$5,849","0.00%","$5,849","$10,552","$5,849","$5,849"

