"Player (3)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Delfino                   Carlos Delfino","SG","","","$650,000","0.69%","","","","",""
"Farmar                   Jordan Farmar","PG","","","$510,922","0.54%","","","","",""
"Raduljica                   Miroslav Raduljica","C","","","$252,042","0.27%","","","","",""

