" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Vaughn                     Rashad Vaughn","SG","21","$1,889,040","1.91%","$1,889,040","$1,889,040","$661,697","'-"
"2","Crawford                     Jordan Crawford","SG","29","$250,000","0.25%","$250,000","$250,000","$250,000","'-"
"3","Smith                     Josh Smith","SF","32","$210,500","0.21%","$210,500","$210,500","$210,500","'-"
"4","Okafor                     Emeka Okafor","C","35","$99,755","0.10%","$99,755","$99,755","$157,875","$131,562"
"5","Liggins                     DeAndre Liggins","SG","29","$83,129","0.08%","$83,129","$83,129","$89,109","$89,109"
"6","Liggins                     DeAndre Liggins","SG","29","$83,129","0.08%","$83,129","$83,129","$89,109","$89,109"
"7","Drew II                     Larry Drew II","PG","27","$74,159","0.07%","$74,159","$74,159","$74,159","$74,159"
"8","Drew II                     Larry Drew II","PG","27","$74,159","0.07%","$74,159","$74,159","$74,159","$74,159"
"9","Lemon Jr.                     Walter Lemon Jr.","PG","25","$46,080","0.05%","$46,080","$46,080","$46,080","$46,080"
"10","Lemon Jr.                     Walter Lemon Jr.","PG","25","$46,080","0.05%","$46,080","$46,080","$46,080","$46,080"
"11","Toupane                     Axel Toupane","SG","25","$25,000","0.03%","$25,000","$25,000","$25,000","'-"
"12","Cook                     Quinn Cook","PG","24","$25,000","0.03%","$25,000","$25,000","$25,000","'-"

