"Player (14 of 15 + 2 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"George                   Paul George","SF","29","FA","$33,005,556","30.24%","$33,005,556","'-","'-","'-","$33,005,556"
"Leonard                   Kawhi Leonard","SF","28","FA","$32,742,000","30.00%","$32,742,000","'-","'-","'-","$32,742,000"
"Morris Sr.                   Marcus Morris Sr.","PF","30","FA","$15,000,000","13.74%","$15,000,000","'-","'-","'-","$15,000,000"
"Beverley                   Patrick Beverley","PG","31","FA","$12,345,680","11.31%","$12,345,680","'-","'-","'-","$12,345,680"
"Williams                   Louis Williams","SG","33","VET-EXT","$8,000,000","7.33%","$8,000,000","'-","'-","'-","$8,000,000"
"Zubac                   Ivica Zubac","C","22","FA","$6,481,482","5.94%","$6,481,482","'-","'-","'-","$6,481,482"
"Harrell                   Montrezl Harrell","C","26","","$6,000,000","5.50%","$6,000,000","'-","'-","'-","$6,000,000"
"McGruder                   Rodney McGruder","SG","28","FA","$4,807,693","4.41%","$4,807,693","'-","'-","'-","$4,807,693"
"Green                   JaMychal Green","PF","29","FA","$4,767,000","4.37%","$4,767,000","'-","'-","'-","$4,767,000"
"Kabengele                   Mfiondu Kabengele","PF","22","RK-1ST","$1,977,000","1.81%","$1,977,000","'-","'-","'-","$1,977,000"
"Patterson                   Patrick Patterson","PF","30","FA","$1,620,564","1.48%","$2,331,593","'-","'-","'-","$2,331,593"
"Mann                   Terance Mann","SG","23","RK","$1,000,000","0.92%","$1,000,000","'-","'-","'-","$1,000,000"
"Jackson                   Reggie Jackson","PG","29","ROS","$512,721","0.47%","$734,025","'-","'-","'-","$734,025"
"Noah                   Joakim Noah","C","34","ROS","$183,115","0.17%","$289,803","'-","'-","'-","$289,803"
"Motley                   Johnathan Motley","PF","24","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Coffey                   Amir Coffey","SG","22","2W","Two-Way","'-","'-","'-","'-","'-","'-"

