" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Jerrett                     Grant Jerrett","PF","22","$947,276","1.35%","$947,276","$947,276","$947,276","'-"
"2","Millsap                     Elijah Millsap","SG","28","$362,878","0.52%","$362,878","$362,878","$362,878","'-"
"3","Graham                     Treveon Graham","SG","22","$75,000","0.11%","$75,000","$75,000","$75,000","'-"
"4","O'Brien                     J.J. O'Brien","SF","23","$75,000","0.11%","$75,000","$75,000","$75,000","'-"
"5","Singler                     E.J. Singler","SF","25","$50,000","0.07%","$50,000","$50,000","$50,000","'-"
"6","Green                     Erick Green","PG","24","$49,709","0.07%","$49,709","$49,709","$49,709","'-"
"7","Green                     Erick Green","PG","24","$49,709","0.07%","$49,709","$49,709","$49,709","'-"
"8","O'Brien                     J.J. O'Brien","SF","23","$30,888","0.04%","$30,888","$30,888","$30,888","'-"
"9","Pressey                     Phil Pressey","PG","24","$11,144","0.02%","$11,144","$11,144","$11,144","'-"
"10","Atkins                     Erik Atkins","PG","24","$6,178","0.01%","$6,178","$6,178","$6,178","'-"

