"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Bosh                   Chris Bosh","PF","32","FA","$23,741,060","25.22%","$23,741,060","'-","'-","'-","'-"
"Whiteside                   Hassan Whiteside","C","27","FA","$22,116,750","23.49%","$22,116,750","'-","'-","'-","$22,116,750"
"Dragic                   Goran Dragic","PG","30","FA","$15,891,725","16.88%","$15,891,725","'-","'-","'-","$15,891,725"
"Ellington                   Wayne Ellington","SG","29","","$6,000,000","6.37%","$6,000,000","'-","'-","'-","$6,000,000"
"McRoberts                   Josh McRoberts","PF","29","","$5,782,450","6.14%","$5,782,450","'-","'-","'-","$5,782,450"
"Johnson                   Tyler Johnson","SG","24","","$5,628,000","5.98%","$5,628,000","'-","'-","'-","$5,628,000"
"Johnson                   James Johnson","PF","29","","$4,000,000","4.25%","$4,000,000","'-","'-","'-","$4,000,000"
"Haslem                   Udonis Haslem","PF","36","","$4,000,000","4.25%","$4,000,000","'-","'-","'-","'-"
"Waiters                   Dion Waiters","SG","25","","$2,898,000","3.08%","$2,898,000","'-","'-","'-","$2,898,000"
"Winslow                   Justise Winslow","SF","20","RK-1ST","$2,593,440","2.75%","$2,593,440","'-","'-","'-","$2,593,440"
"Babbitt                   Luke Babbitt","SF","27","","$1,227,286","1.30%","$1,227,286","'-","'-","'-","'-"
"Reed                   Willie Reed","C","26","","$1,015,696","1.08%","$1,015,696","'-","'-","'-","'-"
"Richardson                   Josh Richardson","SG","23","RK","$874,636","0.93%","$874,636","'-","'-","'-","$874,636"
"McGruder                   Rodney McGruder","SG","25","","$543,471","0.58%","$543,471","'-","'-","'-","$543,471"
"White                   Okaro White","PF","24","","$210,995","0.22%","$210,995","'-","'-","'-","$210,995"

