" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Ginobili                     Manu Ginobili","SG","35","$14,107,492","24.30%","$14,107,492","$14,107,492","$14,107,492","'-","2013"
"2","Parker                     Tony Parker","PG","30","$12,500,000","21.54%","$12,500,000","$12,500,000","$12,500,000","$12,500,000",""
"3","Jackson                     Stephen Jackson","SF","34","$10,059,750","17.33%","$10,059,750","$10,059,750","$10,059,750","'-",""
"4","Duncan                     Tim Duncan","PF","36","$9,638,554","16.61%","$9,638,554","$9,638,554","$9,638,554","'-","2015"
"5","Diaw                     Boris Diaw","C","30","$4,500,000","7.75%","$4,500,000","$4,500,000","$4,500,000","$4,125,000","2014"
"6","Splitter                     Tiago Splitter","PF","28","$3,944,000","6.79%","$3,944,000","$3,944,000","$3,944,000","'-","2013"
"7","Bonner                     Matt Bonner","C","32","$3,630,000","6.25%","$3,630,000","$3,630,000","$3,630,000","'-","2014"
"8","Green                     Danny Green","SG","25","$3,500,000","6.03%","$3,500,000","$3,500,000","$3,500,000","$3,500,000","2015"
"9","Leonard                     Kawhi Leonard","SF","21","$1,809,840","3.12%","$1,809,840","$1,809,840","$1,809,840","$1,809,840","2027"
"10","De Colo                     Nando De Colo","PG","25","$1,400,000","2.41%","$1,400,000","$1,400,000","$1,400,000","'-","2014"
"11","Mills                     Patty Mills","PG","24","$1,085,120","1.87%","$1,085,120","$1,085,120","$1,085,120","$1,085,120","2014"
"12","Joseph                     Cory Joseph","PG","21","$1,074,720","1.85%","$1,074,720","$1,074,720","$1,074,720","$1,074,720","2015"
"13","Blair                     DeJaun Blair","C","23","$1,054,000","1.82%","$1,054,000","$1,054,000","$1,054,000","'-","2013"
"14","Neal                     Gary Neal","PG","28","$854,389","1.47%","$854,389","$854,389","$854,389","'-","2013"
"15","Baynes                     Aron Baynes","C","26","$239,588","0.41%","$239,588","$239,588","$239,588","$239,588","2014"
"16","McGrady                     Tracy McGrady","SG","33","$10,052","0.02%","$10,052","$10,052","$15,908","'-","2013"

