"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Beauchamp                   MarJon Beauchamp","SG","","","$2,733,720","1.94%","","","","",""
"Primo                   Joshua Primo","SG","","","$1,000,000","0.71%","","","","",""

