" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Hayward                     Gordon Hayward","SF","26","$16,073,140","17.07%","$16,073,140","$16,073,140","$16,073,140","'-","2018"
"2","Favors                     Derrick Favors","PF","25","$11,050,000","11.74%","$11,050,000","$11,050,000","$11,050,000","$10,800,000","2018"
"3","Johnson                     Joe Johnson","SG","35","$11,000,000","11.68%","$11,000,000","$11,000,000","$11,000,000","$11,000,000","2018"
"4","Burks                     Alec Burks","SG","25","$10,154,495","10.79%","$10,154,495","$10,154,495","$10,154,495","$9,904,495","2019"
"5","Hill                     George Hill","PG","30","$8,000,000","8.50%","$8,000,000","$8,000,000","$8,000,000","$8,000,000","2017"
"6","Diaw                     Boris Diaw","C","34","$7,000,000","7.44%","$7,000,000","$7,000,000","$7,000,000","$6,500,000","2018"
"7","Exum                     Dante Exum","PG","21","$3,940,320","4.19%","$3,940,320","$3,940,320","$3,940,320","$3,940,320","2026"
"8","Mack                     Shelvin Mack","PG","26","$2,433,334","2.58%","$2,433,334","$2,433,334","$2,433,334","$2,433,334","2017"
"9","Lyles                     Trey Lyles","PF","21","$2,340,600","2.49%","$2,340,600","$2,340,600","$2,340,600","$2,340,600","2019"
"10","Ingles                     Joe Ingles","SF","29","$2,150,000","2.28%","$2,150,000","$2,150,000","$2,150,000","$2,150,000","2026"
"11","Gobert                     Rudy Gobert","C","24","$2,121,287","2.25%","$2,121,287","$2,121,287","$2,121,287","$2,121,287","2028"
"12","Hood                     Rodney Hood","SG","24","$1,406,520","1.49%","$1,406,520","$1,406,520","$1,406,520","$1,406,520","2018"
"13","Withey                     Jeff Withey","C","26","$1,015,696","1.08%","$1,015,696","$1,015,696","$1,015,696","$1,015,696","2017"
"14","Neto                     Raul Neto","PG","24","$937,800","1.00%","$937,800","$937,800","$937,800","$877,800","2018"
"15","Bolomboy                     Joel Bolomboy","PF","23","$600,000","0.64%","$600,000","$600,000","$600,000","$600,000","2019"

