" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Durant                     Kevin Durant","SF","26","$18,995,624","30.12%","$18,995,624","$18,995,624","$18,995,624","'-","2028"
"2","Westbrook                     Russell Westbrook","PG","26","$15,719,062","24.93%","$15,719,062","$15,719,062","$15,719,062","$15,719,062","2026"
"3","Ibaka                     Serge Ibaka","PF","25","$12,350,000","19.58%","$12,350,000","$12,350,000","$12,350,000","$12,350,000","2017"
"4","Freedom                     Enes Freedom","C","22","$5,694,674","9.03%","$5,694,674","$5,694,674","$5,694,674","$5,694,674","2015"
"5","Waiters                     Dion Waiters","SG","23","$4,062,000","6.44%","$4,062,000","$4,062,000","$4,062,000","$4,062,000","2016"
"6","Novak                     Steve Novak","SF","31","$3,445,947","5.46%","$3,445,947","$3,445,947","$3,445,947","'-","2016"
"7","Morrow                     Anthony Morrow","SG","29","$3,200,000","5.07%","$3,200,000","$3,200,000","$3,200,000","'-","2017"
"8","Augustin                     D.J. Augustin","PG","27","$3,000,000","4.76%","$3,000,000","$3,000,000","$3,000,000","$3,000,000","2016"
"9","Collison                     Nick Collison","PF","34","$2,242,003","3.56%","$2,242,003","$2,242,003","$2,242,003","'-",""
"10","Lamb                     Jeremy Lamb","SG","22","$2,202,000","3.49%","$2,202,000","$2,202,000","$2,202,000","$2,202,000",""
"11","Adams                     Steven Adams","C","21","$2,184,960","3.46%","$2,184,960","$2,184,960","$2,184,960","$2,184,960","2028"
"12","McGary                     Mitch McGary","PF","22","$1,400,040","2.22%","$1,400,040","$1,400,040","$1,400,040","'-","2018"
"13","Roberson                     Andre Roberson","SG","23","$1,160,880","1.84%","$1,160,880","$1,160,880","$1,160,880","$1,160,880","2017"
"14","Jones III                     Perry Jones III","SF","23","$1,129,200","1.79%","$1,129,200","$1,129,200","$1,129,200","'-","2016"
"15","Singler                     Kyle Singler","SF","26","$1,090,000","1.73%","$1,090,000","$1,090,000","$1,090,000","$1,090,000","2015"

